title,company,location,url,post_date,scraped_at,source,description,industry,skills
Data Engineer,SKIMS,Los Angeles Metropolitan Area,https://www.linkedin.com/jobs/view/data-engineer-at-skims-4316092243,2025-10-17,2025-10-21T13:32:40.885053,public_api,"We are looking for a Data Engineer to be a founding member of our Data and Analytics team. In this role you will be responsible for building the foundational data analytics, reporting, and data pipelines platforms that power data-driven decision making across the entire company. This role is also critical in building data products and dashboards to empower data-driven decision making across the organization.
Key Responsibilities
Architect, maintain and optimize scalable data pipelines to deliver critical insights for Skims using Fivetran, DBT, Airflow, Snowflake, BigQuery and various AWS services.
Assemble large and complex data sets that meet functional and non-functional business requirements.
Maintain and contribute to our data quality efforts using DBT tests and Monte Carlo.
Collaborate with data scientists, analysts and other stakeholders to understand data requirements and deliver tailored solutions.
Document technical designs, workflows and best practices to facilitate knowledge",Not specified,"SQL, AWS, Python, Looker, Tableau, Airflow, Snowflake"
"Software Engineer, New Grad",Stripe,"San Francisco, CA",https://www.linkedin.com/jobs/view/software-engineer-new-grad-at-stripe-4294691515,2025-10-15,2025-10-21T13:32:40.885053,public_api,"Who we are
About Stripe
Stripe is a financial infrastructure platform for businesses. Millions of companies—from the world’s largest enterprises to the most ambitious startups—use Stripe to accept payments, grow their revenue, and accelerate new business opportunities. Our mission is to increase the GDP of the internet, and we have a staggering amount of work ahead. That means you have an unprecedented opportunity to put the global economy within everyone’s reach while doing the most important work of your career.
About The Team
Stripe offers an interesting middle ground between joining a small startup and going to work for a multinational company. We have systems and processes optimized for early-career professionals. You will be in an environment that prizes rigor, discipline, and reliability—from our products, from our ways of working, and from our colleagues. You will learn how the best teams put together extremely reliable systems, and you will be responsible for operating these s",Not specified,"Ruby, JavaScript, Java, Scala, Go"
Data Engineer,Facebook,United States,https://www.linkedin.com/jobs/view/data-engineer-at-facebook-4314044511,2025-10-13,2025-10-21T13:32:40.885053,public_api,"Meta, W2 Contract
Data Engineer - Remote
Job Summary:
Meta is seeking a talented Data Engineer to join our team within the Edge Network Services division. This role will support the M360 project, focusing on data analytics and metrics. As part of the ENS Analytics team, you will enable data-driven decision-making, develop L1/L2/L3 metrics for key processes, and automate Opex and Capex tracking. Your responsibilities will include designing scalable data solutions, automating data pipelines, improving data quality, and establishing effective metrics governance to support ENS operations. Additionally, you will create dashboards, reports, and self-service analytics tools to empower ENS teams to monitor, analyze, and act on reliable data insights.
Job Qualifications:
5+ years of experience as a Data Engineer supporting company infrastructure, data analysis, and metrics
Proficiency in Linux and shell scripting
Expertise in MySQL database administration, implementation, and maintenance
Strong",Not specified,"SQL, MySQL, Python"
Data Engineer Intern,Coinbase,"New York, NY",https://www.linkedin.com/jobs/view/data-engineer-intern-at-coinbase-4314425484,2025-10-13,2025-10-21T13:32:40.885053,public_api,"Ready to be pushed beyond what you think you’re capable of?
At Coinbase, our mission is to increase economic freedom in the world. It’s a massive, ambitious opportunity that demands the best of us, every day, as we build the emerging onchain platform — and with it, the future global financial system.
To achieve our mission, we’re seeking a very specific candidate. We want someone who is passionate about our mission and who believes in the power of crypto and blockchain technology to update the financial system. We want someone who is eager to leave their mark on the world, who relishes the pressure and privilege of working with high caliber colleagues, and who actively seeks feedback to keep leveling up. We want someone who will run towards, not away from, solving the company’s hardest problems.
Our work culture is intense and isn’t for everyone. But if you want to build the future alongside others who excel in their disciplines and expect the same from you, there’s no better place to ",Not specified,"SQL, Azure, AWS, Python, GCP"
Data Engineer Intern,Ibotta,"Denver, CO",https://www.linkedin.com/jobs/view/data-engineer-intern-at-ibotta-4305768884,2025-10-18,2025-10-21T13:32:40.885053,public_api,"Ibotta is seeking a 
Data Engineering Intern
 to join our innovative team and contribute to our mission to Make Every Purchase Rewarding. As a participant in our 
2026 Summer Internship
, you will have the opportunity to fully integrate with your team to directly contribute to ongoing Ibotta business initiatives. In addition to the daily time with your team, you will participate in ongoing teach outs curated to help build skills essential to transitioning into the workforce and building your career. We are looking for candidates who are eager to learn, excited to work on real-world business challenges, and want to be part of a mission-driven company.
This will be a full-time, 12 week, internship during the summer of 2026. This is a hybrid position located in Denver, Colorado and requires 3 days in-office per week. Required in-office hybrid days are Tuesday, Wednesday, and Thursday. Candidates must live in the United States.
What you will be doing:
Contribute as a member of the Data Inf",Not specified,"Scala, Terraform, Python, Spark"
Data Engineer,Phamily,United States,https://www.linkedin.com/jobs/view/data-engineer-at-phamily-4306275986,2025-10-18,2025-10-21T13:32:40.885053,public_api,"Healthcare - Data Engineer
Location:
 Remote
Job Type:
 Full-time/Contract
Full-time Salary Range: 
$110K - $140K
Contract Salary Range: 
$90-$135/hr
About Us
Phamily is a healthcare technology company focused on making proactive care management simple, scalable, and financially sustainable. Our SaaS platform equips health systems and physician groups with AI-powered virtual care tools to better manage chronic conditions and general patient needs between office visits. By shifting healthcare from reactive, episodic treatment to proactive care management, we’ve already supported tens of thousands of patients, and we’re just getting started. Join us as we continue to revolutionize how care is delivered.
Job/Role Description
As a Data Engineer at Phamily, you’ll own the pipelines and infrastructure that power our AI-driven virtual care platform. You’ll build automated data workflows that ingest, standardize, and deliver healthcare data into our product and analytics environment. You’ll al",Not specified,"SQL, Python, Airflow"
Senior Data Engineer,Gallup,"San Francisco, CA",https://www.linkedin.com/jobs/view/senior-data-engineer-at-gallup-4311462691,2025-10-13,2025-10-21T13:32:40.885053,public_api,"Engineer data systems that change how people live and work. 
As a senior data engineer at Gallup, you’ll play a key role in designing, developing and optimizing the data systems that underpin our flagship platform, Gallup Access. You'll use your enterprise-level data technology expertise to enhance our data capabilities; modernize existing systems; expand GenAI; and ensure the performance, security and reliability of our data infrastructure. Working with technologies like AWS Aurora and other AWS storage and compute services, you’ll influence how we empower better decision-making by delivering reliable data and insights on everything that matters, from global wellbeing to employee engagement.
As part of our Technology team, you won't just maintain systems; you'll actively shape their future. If you excel at tackling complex data challenges and building robust, scalable solutions, join us in developing technology that truly changes the world.
What You’ll Do
Design, develop and implement",Not specified,"AWS, Java, Python, DynamoDB, Snowflake, MySQL"
Data Engineer,iRocket,"New Hyde Park, NY",https://www.linkedin.com/jobs/view/data-engineer-at-irocket-4317060082,2025-10-20,2025-10-21T13:32:40.885053,public_api,"Data is pivotal to our goal of frequent launch and rapid iteration. We're recruiting a Data Engineer at iRocket to build pipelines, analytics, and tools that support propulsion test, launch operations, manufacturing, and vehicle performance.
The Role
Design and build data pipelines for test stands, manufacturing machines, launch telemetry, and operations systems
Develop dashboards, real-time monitoring, data-driven anomaly detection, performance trending, and predictive maintenance tools
Work with engineers across propulsion, manufacturing, and operations to translate data-needs into data-products
Maintain data architecture, ETL processes, cloud/edge-data systems, and analytics tooling
Support A/B testing, performance metrics, and feed insights back into design/manufacturing cycles
Requirements
Bachelor's degree in Computer Science, Data Engineering, or related technical field
2+ years of experience building data pipelines, ETL/ELT workflows, and analytics systems
Proficient in Python,",Not specified,"SQL, Azure, AWS, Python, Tableau, GCP"
Data Engineer I,Tempus AI,"Chicago, IL",https://www.linkedin.com/jobs/view/data-engineer-i-at-tempus-ai-4304317235,2025-10-15,2025-10-21T13:32:40.885053,public_api,"Passionate about precision medicine and advancing the healthcare industry?
Recent advancements in underlying technology have finally made it possible for AI to impact clinical care in a meaningful way. Tempus' proprietary platform connects an entire ecosystem of real-world evidence to deliver real-time, actionable insights to physicians, providing critical information about the right treatments for the right patients, at the right time.
What You’ll Do
Build, maintain and scale data pipelines and models that power analytics, reporting, and self-service exploration.
Collaborate with BI engineers, product managers, and engineering teams to translate business needs into reliable data solutions.
Support data governance, including data quality monitoring and audits.
Contribute to the evolution of the BI data platform by applying best practices in data modeling, orchestration, and governance.
Investigate and resolve complex data issues in partnership with cross-function teams.
Qualifications
",Not specified,"SQL, Python, Looker, Airflow, GCP"
"Data Engineer II - QuantumBlack, AI by McKinsey","QuantumBlack, AI by McKinsey","New York, NY",https://www.linkedin.com/jobs/view/data-engineer-ii-quantumblack-ai-by-mckinsey-at-quantumblack-ai-by-mckinsey-4316347719,2025-10-17,2025-10-21T13:32:40.890415,public_api,,,
