title,company,location,url,post_date,scraped_at,source,description,industry,skills
Data Analyst (Finance),Sea,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analyst-finance-at-sea-4285645100,2025-10-19,2025-10-21T02:45:38.585556,authenticated,,,
"Analyst, Data Analytics & Business Intelligence",Jobgether,United States,https://www.linkedin.com/jobs/view/analyst-data-analytics-business-intelligence-at-jobgether-4313834488,,2025-10-21T02:45:38.587259,authenticated,,,
"Data Analyst - Fraud Analytics, Operations",Shopee,"Manila, National Capital Region, Philippines",https://ph.linkedin.com/jobs/view/data-analyst-fraud-analytics-operations-at-shopee-4316195534,2025-10-19,2025-10-21T02:45:43.232928,authenticated,,,
Analista Gestão Indicadores Pl,Camil Alimentos S/A,Greater São Paulo Area,https://br.linkedin.com/jobs/view/analista-gest%C3%A3o-indicadores-pl-at-camil-alimentos-s-a-4313875084,2025-10-18,2025-10-21T02:45:43.234939,authenticated,,,
Analista de datos,Indra,"Lima, Peru",https://pe.linkedin.com/jobs/view/analista-de-datos-at-indra-4314390698,,2025-10-21T02:45:43.236690,authenticated,,,
Virtual Data Analyst Full Time (100% Remote),EMK CONSULTORIA,United States,https://www.linkedin.com/jobs/view/virtual-data-analyst-full-time-100%25-remote-at-emk-consultoria-4317083844,,2025-10-21T02:45:43.236690,authenticated,,,
Data Analyst,Olive Consulting LTD,San Francisco Bay Area,https://www.linkedin.com/jobs/view/data-analyst-at-olive-consulting-ltd-4314576723,,2025-10-21T02:45:43.238702,authenticated,,,
Data Analyst,IHCC,"Jeddah, Makkah, Saudi Arabia",https://sa.linkedin.com/jobs/view/data-analyst-at-ihcc-4314354758,,2025-10-21T02:45:43.238702,authenticated,,,
Data Analyst Associate,Convera,"London, England, United Kingdom",https://uk.linkedin.com/jobs/view/data-analyst-associate-at-convera-4296430565,2025-10-19,2025-10-21T02:45:43.238702,authenticated,,,
Data Analyst,Helic & Co.,Canada,https://ca.linkedin.com/jobs/view/data-analyst-at-helic-co-4317313614,,2025-10-21T02:45:43.240716,authenticated,,,
Senior Data Analyst,Exclaimer,"London, England, United Kingdom",https://uk.linkedin.com/jobs/view/senior-data-analyst-at-exclaimer-4314375995,,2025-10-21T02:45:43.240716,authenticated,,,
Data Analyst,Air Apps,"San Francisco, CA",https://www.linkedin.com/jobs/view/data-analyst-at-air-apps-4314393871,,2025-10-21T02:45:43.242727,authenticated,,,
Data Analyst Power BI,Logicalis Spain,Spain,https://es.linkedin.com/jobs/view/data-analyst-power-bi-at-logicalis-spain-4305613644,,2025-10-21T02:45:48.249071,authenticated,,,
Data analyst  | Mid-senior | Infrastructure DA team,Nord Security,"Vilnius, Vilniaus, Lithuania",https://lt.linkedin.com/jobs/view/data-analyst-mid-senior-infrastructure-da-team-at-nord-security-4317319871,,2025-10-21T02:45:48.251080,authenticated,,,
Analista de Sistemas Operacionais Jr,DHL Supply Chain,"Jandira, São Paulo, Brazil",https://br.linkedin.com/jobs/view/analista-de-sistemas-operacionais-jr-at-dhl-supply-chain-4316633810,,2025-10-21T02:45:48.251080,authenticated,,,
Data Analyst (Remote - US),Jobgether,United States,https://www.linkedin.com/jobs/view/data-analyst-remote-us-at-jobgether-4314350580,,2025-10-21T02:45:48.253088,authenticated,,,
Data Analyst,Wuffes,"London Area, United Kingdom",https://uk.linkedin.com/jobs/view/data-analyst-at-wuffes-4317099839,,2025-10-21T02:45:48.253088,authenticated,,,
Associate Data Researcher - Methodology,Forbes Advisor,Mumbai Metropolitan Region,https://in.linkedin.com/jobs/view/associate-data-researcher-methodology-at-forbes-advisor-4306343744,,2025-10-21T02:45:48.253088,authenticated,,,
Data Analyst (Remote - US),Jobgether,United States,https://www.linkedin.com/jobs/view/data-analyst-remote-us-at-jobgether-4314327995,,2025-10-21T02:45:48.253088,authenticated,,,
Data Analyst,Keyrus,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analyst-at-keyrus-4316454652,,2025-10-21T02:45:48.255095,authenticated,,,
Power BI Data Analyst,London Approach,"King of Prussia, PA",https://www.linkedin.com/jobs/view/power-bi-data-analyst-at-london-approach-4306141111,,2025-10-21T02:45:48.255095,authenticated,,,
"Analyst, Static Data (1 Year Contract)",Scotiabank,"Toronto, Ontario, Canada",https://ca.linkedin.com/jobs/view/analyst-static-data-1-year-contract-at-scotiabank-4316632934,,2025-10-21T02:45:48.255095,authenticated,,,
Data Analyst,IQ Staffing,"Utrecht, Netherlands",https://nl.linkedin.com/jobs/view/data-analyst-at-iq-staffing-4316498443,,2025-10-21T02:45:52.910001,authenticated,,,
Data Analyst (Remote - US),Jobgether,United States,https://www.linkedin.com/jobs/view/data-analyst-remote-us-at-jobgether-4314332924,,2025-10-21T02:45:52.912510,authenticated,,,
Business Data Analyst,Performics,"Bogota, D.C., Capital District, Colombia",https://co.linkedin.com/jobs/view/business-data-analyst-at-performics-4191843703,2025-10-19,2025-10-21T02:45:52.914519,authenticated,,,
Data Analyst,Employee First - Recruitment & Engagement,"Sydney, New South Wales, Australia",https://au.linkedin.com/jobs/view/data-analyst-at-employee-first-recruitment-engagement-4316419753,,2025-10-21T02:45:52.914519,authenticated,,,
Junior Data Analyst,Iskima,"Greater Toronto Area, Canada",https://ca.linkedin.com/jobs/view/junior-data-analyst-at-iskima-4316428601,,2025-10-21T02:45:52.916531,authenticated,,,
Data Analyst,Crew,"Reston, VA",https://www.linkedin.com/jobs/view/data-analyst-at-crew-4317393081,,2025-10-21T02:45:52.920291,authenticated,,,
Data Analyst,Talkdesk,"Porto, Porto, Portugal",https://pt.linkedin.com/jobs/view/data-analyst-at-talkdesk-4299543109,,2025-10-21T02:45:52.922033,authenticated,,,
Data Analyst,NTEN,United States,https://www.linkedin.com/jobs/view/data-analyst-at-nten-4317087762,,2025-10-21T02:45:52.923162,authenticated,,,
Data Analyst F/H,Fnac Darty,"Ivry-sur-Seine, Île-de-France, France",https://fr.linkedin.com/jobs/view/data-analyst-f-h-at-fnac-darty-4308036777,,2025-10-21T02:45:52.923162,authenticated,,,
